@W: MO171 :|Sequential instance con_3x3_0.G_17 reduced to a combinational gate by constant propagation 
@W: BN132 :"c:\users\yisong\documents\new\gaussian\window_3x3.vhd":202:1:202:2|Removing instance con_3x3_0.window_3x3_0.dwrreqb,  because it is equivalent to instance con_3x3_0.window_3x3_0.ReadEn0
@W: BN132 :|Removing instance con_3x3_0.G_9,  because it is equivalent to instance con_3x3_0.G_1
@W: BN132 :|Removing instance con_3x3_0.G_2,  because it is equivalent to instance con_3x3_0.G_10
@W: BN132 :|Removing instance con_3x3_0.G_11,  because it is equivalent to instance con_3x3_0.G_3
@W: BN132 :|Removing instance con_3x3_0.G_4,  because it is equivalent to instance con_3x3_0.G_12
@W: BN132 :|Removing instance con_3x3_0.G_13,  because it is equivalent to instance con_3x3_0.G_5
@W: BN132 :|Removing instance con_3x3_0.G_6,  because it is equivalent to instance con_3x3_0.G_14
@W: BN132 :|Removing instance con_3x3_0.G_15,  because it is equivalent to instance con_3x3_0.G_7
@W: BN132 :|Removing instance con_3x3_0.G_8,  because it is equivalent to instance con_3x3_0.G_16
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[0],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[0]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[1],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[1]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[2],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[2]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[3],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[3]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[4],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[4]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[5],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[5]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[6],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[6]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[7],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[7]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[8],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[8]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo1.memory_raddr_tmp[9],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo1.tail[9]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo0.memory_raddr_tmp[0],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo0.tail[0]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo0.memory_raddr_tmp[1],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo0.tail[1]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo0.memory_raddr_tmp[2],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo0.tail[2]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo0.memory_raddr_tmp[3],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo0.tail[3]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo0.memory_raddr_tmp[4],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo0.tail[4]
@W: BN132 :"c:\users\yisong\documents\new\gaussian\std_fifo.vhd":36:11:36:16|Removing instance con_3x3_0.window_3x3_0.fifo0.memory_raddr_tmp[5],  because it is equivalent to instance con_3x3_0.window_3x3_0.fifo0.tail[5]
