@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled 
@N: BN362 :"c:\users\yisong\documents\new\mlp\spi.vhd":69:3:69:4|Removing sequential instance write_pending of view:PrimLib.dffr(prim) in hierarchy view:work.spi2(rtl) because there are no references to its outputs 
@N: FA239 :"c:\users\yisong\documents\new\mlp\fp_exp.vhd":7505:9:7505:18|ROM t_1.r_1[7:2] mapped in logic.
@N: FA239 :"c:\users\yisong\documents\new\mlp\fp_exp.vhd":7505:9:7505:18|ROM t_1.r_1[7:2] mapped in logic.
@N: MO106 :"c:\users\yisong\documents\new\mlp\fp_exp.vhd":7505:9:7505:18|Found ROM, 't_1.r_1[7:2]', 64 words by 6 bits 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance float_alu0.alu_c[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance float_alu0.alu_b[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance float_alu0.alu_a[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_39[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_38[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_37[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_36[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_35[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_34[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_33[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_32[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_31[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_30[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_29[31:0] 
@N: FX493 |Applying initial value "00000000000000000000000000000000" on instance test0.fsm_mlp\.temp_outputs_28[31:0] 
